Latitude,Longitude,flow_accumulation
-28.760833,17.730278,4131443
-26.861111,28.884722,11618
-26.45,28.085833,8986
-27.671111,27.236944,18768
-27.356667,27.286389,4778
-27.01011111,26.69808333,333144
-25.127778,27.628889,1
-25.20639,27.558,3
-24.69514,27.40906,1
-26.98472222,26.63227778,30946
-28.141944,26.417778,37315
-27.398611,26.614722,41090
-33.501667,21.624167,98867
-32.502778,19.535833,38124
-25.45963889,28.26430556,3284
-27.495556,26.074722,5884
-26.648056,27.089444,3
-26.970278,27.211111,257862
-27.38972222,26.46388889,419890
-27.044444,27.005,30112
-30.830556,26.921389,46684
-27.00222,28.76528,81300
-27.02314,28.59389,97706
-30.679722,26.7125,198160
-30.160091,27.40124,16033
-32.595833,19.009444,1
-25.99136,27.84208,813
-26.73806,27.59194,1
-30.86013889,29.07125,37513
-25.73411,27.21422,1
-29.160278,26.573333,10016
-34.250556,20.9925,2
-25.81048333,27.90955222,37
-27.273889,28.49,12
-27.4275,28.525833,11
-28.883333,27.89,1
-30.534167,24.961944,1
-28.460833,21.248889,1821848
-29.658056,25.973333,1154
-25.513889,31.224444,27789
-31.554722,29.245556,6
-28.058889,30.373611,162
-25.681111,31.783333,45592
-27.802778,28.768333,39571
-31.104278,29.399722,1
-31.396,29.2651,104697
-33.38056,19.30167,3547
-33.31388889,19.07472222,4
-24.39619444,27.08983333,146047
-26.880278,26.965,14
-27.3,28.586944,55554
-30.568333,29.422778,5437
-30.570833,29.150556,13396
-34.031944,22.053333,1230
-33.13083,18.86278,16602
-33.7075,18.97444444,6
-25.57877778,29.12747222,22372
-26.006389,29.253889,1
-30.77586667,29.03221667,16831
-24.925278,29.324444,6
-24.679167,30.8025,2631
-25.49037,30.6986,8014
-33.818056,19.694722,24137
-33.897778,20.012778,3
-34.065833,20.404167,55155
-24.058889,31.237222,7
-34.092222,21.295278,1305
-27.363611,31.783333,2
-34.329722,18.990278,14
-23.281,30.54305556,1
-28.801278,31.955389,14818
-29.140556,31.391944,154059
-27.169444,29.233889,21672
-27.573056,24.746389,58442
-28.69485,28.23487,5
-34.039722,22.133333,3
-28.068333,31.55,6
-29.7775,29.470833,65
-29.987778,29.851667,4
-29.744167,29.905833,412
-25.436111,31.982222,1
-25.67386,31.57527,5811
-30.733889,29.828333,4015
-30.398056,30.601944,1182
-22.43772222,31.07805556,9552
-29.803611,30.516111,2239
-29.641944,30.6875,18902
-33.980556,21.653333,241931
-22.769722,30.886944,2
-23.763056,27.908611,2004
-23.23572222,27.717,2
-28.44555556,32.325,1
-30.336111,27.359444,131578
-22.91028,29.61111,39162
-24.183889,30.823889,240457
-23.658056,31.05,24004
-22.225556,29.990556,1031622
-26.03611,30.99778,28610
-28.404444,30.013056,1
-29.380556,30.2775,1779
-31.031389,28.883333,1
-28.747778,31.745833,12758
-24.282222,28.090278,9285
-30.27402,30.69602,2766
-28.338333,31.373611,20915
-28.735556,29.820556,22663
-27.602222,29.942778,7953
-28.116667,26.725278,37577
-26.905,32.324722,61416
-28.75,30.442778,68822
-29.161667,30.629722,1
-34.075556,20.145556,11274
-27.5275,30.858056,5002
-25.398889,31.610556,43876
-25.362222,31.956667,5
-24.034167,31.123611,11565
-24.99328,30.81444,245
-25.14944444,31.94055556,2
-27.937778,31.209444,1
-31.000833,26.353056,12910
-25.447222,30.711667,7859
-27.902778,24.615556,127906
-31.5653,18.3306,250775
-30.13573889,30.67422222,23472
-24.768889,31.39,5821
-22.548889,28.898056,80563
-22.935,28.004167,15
-31.860278,18.6875,132433
-29.161667,23.696389,1
-24.9675,31.516667,12769
-29.042222,24.6,9
-28.376944,24.303056,175
-29.028629,24.638389,59
-24.670833,28.560833,1
-28.1175,26.719444,37591
-29.033333,23.983333,4
-34.405833,19.600556,1
-28.96362,19.15486,8
-34.005833,22.351111,4
-34.02861,22.22222,829
-27.935,26.126667,1
-27.4,26.624722,41065
-29.615556,27.065278,68835
-23.838611,31.640833,68580
-28.768056,20.720556,1843993
-31.436944,20.474722,175
-28.7115,24.07288889,801368
-29.1825,23.575556,34
-31.394444,20.947222,89940
-29.651389,22.746389,3
-29.758889,30.935278,3
-33.72266667,18.61691667,132
-33.970833,22.548333,4
-33.870833,20.003333,1
-33.464444,18.740556,1314
-33.08883333,19.21878333,879
-32.94583,18.33667,50
-32.601389,18.750556,3736
-28.308889,31.9025,16
-24.95861111,29.39527778,5
-26.619444,27.980833,1
-26.510278,28.351389,6776
