red,nir,green,swir16,swir22
12802.0,11190.0,11426.0,7687.5,7645.0
9241.5,17658.5,9550.0,13746.5,10574.0
12540.0,15210.0,10720.0,17974.0,14201.0
11237.5,14887.0,10943.0,13522.0,11403.0
9290.0,16828.5,9502.5,12665.5,9643.0
10728.5,12433.5,10433.5,9579.5,8531.5
5122.0,7814.0,5189.5,6664.0,5222.0
9985.0,14137.5,10466.5,10315.5,8536.0
10524.0,15543.0,10647.0,11919.5,9642.5
10262.5,13683.0,10207.0,14011.5,11850.5
9679.0,14391.0,9840.0,13799.5,11265.0
10126.0,15515.5,10247.0,12823.0,10403.5
,,,,
14613.0,17653.0,13104.0,19330.0,16984.0
11096.0,13959.0,9926.0,15156.5,12552.5
11540.5,17937.5,11044.5,18143.5,14152.5
8963.5,19310.5,9597.0,12954.5,9447.5
11496.0,10218.0,11040.0,7946.5,7735.0
11926.0,11481.0,11597.0,8583.0,8196.5
9503.5,17418.5,9908.0,13987.0,10115.0
4479.0,5266.5,4491.0,3672.5,3764.5
9947.0,13724.0,9691.0,13005.5,10754.5
10129.0,11490.5,9969.5,10372.5,9135.0
11938.0,13400.0,10548.0,7764.0,7659.0
10522.5,14158.0,10060.0,12037.5,10023.5
10903.5,15218.5,10334.0,14735.0,12208.5
11898.0,18631.5,11771.5,16495.0,12815.0
8961.0,9089.5,9167.0,7963.0,7740.0
12540.0,15210.0,10720.0,17974.0,14201.0
11634.0,14558.0,10724.5,11450.0,10000.5
9290.0,16828.5,9502.5,12665.5,9643.0
10728.5,12433.5,10433.5,9579.5,8531.5
17879.5,21914.0,17765.0,22170.5,17965.5
10262.5,13683.0,10207.0,14011.5,11850.5
10126.0,15515.5,10247.0,12823.0,10403.5
11237.5,14887.0,10943.0,13522.0,11403.0
,,,,
9192.0,12323.0,9019.0,13161.0,10800.5
11096.0,13959.0,9926.0,15156.5,12552.5
9553.5,16870.5,9753.0,13408.0,10257.0
9407.5,12333.0,9060.0,9264.5,8181.0
11296.0,16767.0,10794.0,18026.5,15340.5
9399.5,14007.5,9248.0,12553.5,9979.0
9947.0,13724.0,9691.0,13005.5,10754.5
10129.0,11490.5,9969.5,10372.5,9135.0
10773.5,15132.5,10835.0,13586.0,11169.0
13063.0,14599.0,12046.5,12067.0,11038.5
11157.5,14001.0,10765.0,12520.0,10583.0
12802.0,11190.0,11426.0,7687.5,7645.0
9137.5,14776.0,9116.5,12424.0,9895.0
9241.5,17658.5,9550.0,13746.5,10574.0
8850.0,19619.0,9449.0,13890.0,10042.0
9431.0,14514.0,9326.0,12189.5,9706.0
5122.0,7814.0,5189.5,6664.0,5222.0
9985.0,14137.5,10466.5,10315.5,8536.0
10524.0,15543.0,10647.0,11919.5,9642.5
11154.0,13298.5,10809.0,10191.0,9261.0
9811.5,12128.5,9803.5,9325.0,8486.0
10126.0,15515.5,10247.0,12823.0,10403.5
,,,,
13003.0,12488.0,11835.5,8894.0,8335.0
11320.5,15820.0,10665.5,16377.5,13975.0
9965.0,13162.5,9546.5,12786.0,10889.0
11540.5,17937.5,11044.5,18143.5,14152.5
,,,,
11496.0,10218.0,11040.0,7946.5,7735.0
9354.5,14265.0,9582.5,14182.0,11071.5
9407.5,12333.0,9060.0,9264.5,8181.0
9929.5,14954.0,9636.0,14753.0,11537.5
9503.5,17418.5,9908.0,13987.0,10115.0
8964.5,16880.0,9196.5,12987.5,10366.5
,,,,
7826.0,9058.0,7859.0,8310.0,7822.0
12122.5,15187.0,11456.5,14527.0,12799.0
10330.5,14270.0,9913.0,13652.0,11469.5
11586.5,13560.0,10076.0,16388.0,13014.0
,,,,
10129.0,11490.5,9969.5,10372.5,9135.0
11938.0,13400.0,10548.0,7764.0,7659.0
13063.0,14599.0,12046.5,12067.0,11038.5
,,,,
9276.5,13185.0,9112.0,13904.5,11277.0
13063.0,14599.0,12046.5,12067.0,11038.5
10583.0,12245.0,9505.5,14908.5,13718.0
11898.0,18631.5,11771.5,16495.0,12815.0
8241.5,10676.0,8325.0,8915.5,8274.0
11496.0,10218.0,11040.0,7946.5,7735.0
11237.5,14887.0,10943.0,13522.0,11403.0
9290.0,16828.5,9502.5,12665.5,9643.0
10728.5,12433.5,10433.5,9579.5,8531.5
10262.5,13683.0,10207.0,14011.5,11850.5
10126.0,15515.5,10247.0,12823.0,10403.5
,,,,
11096.0,13959.0,9926.0,15156.5,12552.5
9119.0,13871.0,9154.0,11520.0,9420.0
9553.5,16870.5,9753.0,13408.0,10257.0
8402.0,13535.0,8387.0,10165.0,8604.0
9677.5,14757.5,9468.5,13111.5,10821.0
8963.5,19310.5,9597.0,12954.5,9447.5
9354.5,14265.0,9582.5,14182.0,11071.5
9407.5,12333.0,9060.0,9264.5,8181.0
9503.5,17418.5,9908.0,13987.0,10115.0
9683.0,14913.0,9525.0,13943.0,11317.0
10129.0,11490.5,9969.5,10372.5,9135.0
8961.0,9089.5,9167.0,7963.0,7740.0
12802.0,11190.0,11426.0,7687.5,7645.0
9241.5,17658.5,9550.0,13746.5,10574.0
8961.0,9089.5,9167.0,7963.0,7740.0
5122.0,7814.0,5189.5,6664.0,5222.0
10524.0,15543.0,10647.0,11919.5,9642.5
8994.5,17894.5,9281.0,13078.0,9695.0
9811.5,12128.5,9803.5,9325.0,8486.0
,,,,
9581.5,10864.0,8959.0,12654.0,11808.5
9985.0,14137.5,10466.5,10315.5,8536.0
12142.0,17210.0,11879.5,18270.5,15619.5
9127.5,16685.5,9427.0,12127.0,9348.0
9947.0,13724.0,9691.0,13005.5,10754.5
10129.0,11490.5,9969.5,10372.5,9135.0
9929.5,14954.0,9636.0,14753.0,11537.5
11938.0,13400.0,10548.0,7764.0,7659.0
13063.0,14599.0,12046.5,12067.0,11038.5
13063.0,14599.0,12046.5,12067.0,11038.5
12548.0,13930.0,11594.0,8610.0,8471.0
11898.0,18631.5,11771.5,16495.0,12815.0
9677.5,14757.5,9468.5,13111.5,10821.0
8961.0,9089.5,9167.0,7963.0,7740.0
11634.0,14558.0,10724.5,11450.0,10000.5
9290.0,16828.5,9502.5,12665.5,9643.0
9431.0,14514.0,9326.0,12189.5,9706.0
10728.5,12433.5,10433.5,9579.5,8531.5
4762.0,6219.0,4774.0,5600.5,4803.0
10262.5,13683.0,10207.0,14011.5,11850.5
10126.0,15515.5,10247.0,12823.0,10403.5
9470.0,17012.5,9767.5,12108.0,9335.0
,,,,
14613.0,17653.0,13104.0,19330.0,16984.0
11096.0,13959.0,9926.0,15156.5,12552.5
11496.0,10218.0,11040.0,7946.5,7735.0
9407.5,12333.0,9060.0,9264.5,8181.0
9143.0,14198.0,8931.0,11670.0,9620.0
9399.5,14007.5,9248.0,12553.5,9979.0
10129.0,11490.5,9969.5,10372.5,9135.0
11413.0,11724.0,10468.0,7895.0,7622.0
10773.5,15132.5,10835.0,13586.0,11169.0
7826.0,9058.0,7859.0,8310.0,7822.0
9608.0,13491.5,9266.0,13393.0,11250.5
10903.5,15218.5,10334.0,14735.0,12208.5
9127.5,16685.5,9427.0,12127.0,9348.0
11157.5,14001.0,10765.0,12520.0,10583.0
10059.0,16337.5,9854.5,14979.0,11663.0
12802.0,11190.0,11426.0,7687.5,7645.0
8978.5,16079.5,9355.0,12341.5,9665.5
9390.5,19052.5,9616.0,14601.0,11173.5
9448.0,15146.5,9829.5,12551.0,9830.5
9241.5,17658.5,9550.0,13746.5,10574.0
12540.0,15210.0,10720.0,17974.0,14201.0
13003.0,12488.0,11835.5,8894.0,8335.0
9985.0,14137.5,10466.5,10315.5,8536.0
10524.0,15543.0,10647.0,11919.5,9642.5
,,,,
9811.5,12128.5,9803.5,9325.0,8486.0
10126.0,15515.5,10247.0,12823.0,10403.5
11237.5,14887.0,10943.0,13522.0,11403.0
,,,,
9031.5,17023.0,9417.0,13069.5,10005.5
,,,,
11320.5,15820.0,10665.5,16377.5,13975.0
9965.0,13162.5,9546.5,12786.0,10889.0
11540.5,17937.5,11044.5,18143.5,14152.5
,,,,
,,,,
8727.5,17360.5,9328.0,12598.5,9475.0
9723.0,16068.0,9712.5,14358.0,11011.0
8930.0,17011.0,9213.5,12459.5,9742.5
9407.5,12333.0,9060.0,9264.5,8181.0
9929.5,14954.0,9636.0,14753.0,11537.5
9503.5,17418.5,9908.0,13987.0,10115.0
11634.0,14558.0,10724.5,11450.0,10000.5
,,,,
12122.5,15187.0,11456.5,14527.0,12799.0
9276.5,13185.0,9112.0,13904.5,11277.0
9947.0,13724.0,9691.0,13005.5,10754.5
10129.0,11490.5,9969.5,10372.5,9135.0
9460.0,13383.5,9030.0,12118.0,10110.5
9429.0,15906.0,9643.0,14471.0,11037.0
11898.0,18631.5,11771.5,16495.0,12815.0
9241.5,17658.5,9550.0,13746.5,10574.0
8961.0,9089.5,9167.0,7963.0,7740.0
12540.0,15210.0,10720.0,17974.0,14201.0
10728.5,12433.5,10433.5,9579.5,8531.5
4762.0,6219.0,4774.0,5600.5,4803.0
10262.5,13683.0,10207.0,14011.5,11850.5
10126.0,15515.5,10247.0,12823.0,10403.5
,,,,
10313.5,13785.0,9684.0,14045.5,11787.0
9553.5,16870.5,9753.0,13408.0,10257.0
9465.5,14678.0,9601.0,12867.0,10208.0
