Latitude,Longitude,Sample Date,red
-22.769722,30.886944,2011-02-23,9181.0
-27.00222,28.76528,2011-02-23,9947.0
-27.02314,28.59389,2011-02-23,10129.0
-27.38972222,26.46388889,2011-02-23,11926.0
-27.398611,26.614722,2011-02-23,10126.0
-27.671111,27.236944,2011-02-23,11237.5
-27.356667,27.286389,2011-02-23,9290.0
-33.897778,20.012778,2011-02-23,8880.0
-23.763056,27.908611,2011-02-24,
-23.23572222,27.717,2011-02-24,10242.0
-28.44555556,32.325,2011-02-24,9712.0
-30.679722,26.7125,2011-02-24,10761.0
-30.160091,27.40124,2011-02-24,10727.5
-30.336111,27.359444,2011-02-24,10786.0
-28.460833,21.248889,2011-02-24,12120.5
-22.91028,29.61111,2011-02-25,
-28.760833,17.730278,2011-02-27,12802.0
-24.183889,30.823889,2011-03-01,9618.5
-27.398611,26.614722,2011-03-01,10126.0
-27.671111,27.236944,2011-03-01,11237.5
-29.160278,26.573333,2011-03-01,
-27.495556,26.074722,2011-03-01,11540.5
-23.658056,31.05,2011-03-02,10644.0
-26.648056,27.089444,2011-03-02,4649.5
-27.802778,28.768333,2011-03-02,10183.5
-24.679167,30.8025,2011-03-03,10583.0
-27.273889,28.49,2011-03-03,9407.5
-27.3,28.586944,2011-03-03,9929.5
-30.679722,26.7125,2011-03-03,10761.0
-27.02314,28.59389,2011-03-04,10129.0
-25.99136,27.84208,2011-03-07,
-31.554722,29.245556,2011-03-07,8850.0
-27.01011111,26.69808333,2011-03-08,10728.5
-27.802778,28.768333,2011-03-08,10183.5
-26.98472222,26.63227778,2011-03-08,10262.5
-27.398611,26.614722,2011-03-08,10126.0
-27.671111,27.236944,2011-03-08,11403.0
-29.160278,26.573333,2011-03-08,
-31.396,29.2651,2011-03-08,13003.0
-25.45963889,28.26430556,2011-03-08,11096.0
-25.81048333,27.90955222,2011-03-09,10317.0
-22.225556,29.990556,2011-03-09,65535.0
-26.03611,30.99778,2011-03-09,9460.0
-28.404444,30.013056,2011-03-09,
-29.380556,30.2775,2011-03-09,9024.0
-26.648056,27.089444,2011-03-09,4649.5
-26.970278,27.211111,2011-03-09,11496.0
-27.273889,28.49,2011-03-09,9407.5
-27.3,28.586944,2011-03-09,9929.5
-27.044444,27.005,2011-03-09,9503.5
-28.69485,28.23487,2011-03-09,9143.0
-28.883333,27.89,2011-03-09,9399.5
-30.568333,29.422778,2011-03-09,9031.5
-30.570833,29.150556,2011-03-09,10029.5
-34.329722,18.990278,2011-03-09,9581.5
-30.830556,26.921389,2011-03-10,
-25.49037,30.6986,2011-03-10,8746.5
-29.380556,30.2775,2011-03-10,9024.0
-30.86013889,29.07125,2011-03-10,23205.5
-30.77586667,29.03221667,2011-03-10,10504.5
-29.658056,25.973333,2011-03-11,11157.5
-30.534167,24.961944,2011-03-11,9839.0
-31.031389,28.883333,2011-03-11,14145.0
-34.039722,22.133333,2011-03-11,9608.0
-28.760833,17.730278,2011-03-13,12802.0
-29.7775,29.470833,2011-03-14,9777.0
-29.987778,29.851667,2011-03-14,
-29.744167,29.905833,2011-03-14,9651.0
-26.861111,28.884722,2011-03-14,9353.0
-26.73806,27.59194,2011-03-14,10546.5
